organisation_number,primary_sdg,primary_sdg_title,secondary_sdgs,focus_summary,sdg_confidence,overseas_engagement,engagement_confidence,tag_model
210639,16,"Peace, Justice and Strong Institutions",4,Research and policy on international defence and security.,high,uk_fundraising_only,medium,claude-haiku-4-5
210686,1,No Poverty,,Charitable support to distressed persons directed by Rotary Club.,low,uk_fundraising_only,low,claude-haiku-4-5
210760,1,No Poverty,3,Welfare and housing support to armed forces members and families.,high,uk_fundraising_only,high,claude-haiku-4-5
210842,16,"Peace, Justice and Strong Institutions",4,Grants to Anglican chaplaincies and charitable work in Russia.,medium,funds_partners_abroad,medium,claude-haiku-4-5
211004,16,"Peace, Justice and Strong Institutions",,Operates monastery providing spiritual retreats and worship.,low,uk_fundraising_only,high,claude-haiku-4-5
211014,4,Quality Education,9,Advances science and engineering education globally.,high,operates_directly_abroad,medium,claude-haiku-4-5
211161,9,"Industry, Innovation and Infrastructure",14,Advances naval architecture and ship design through meetings.,high,uk_fundraising_only,high,claude-haiku-4-5
211200,16,"Peace, Justice and Strong Institutions",,Supports charitable work and Catholic congregation advancement.,low,uk_fundraising_only,high,claude-haiku-4-5
211231,1,No Poverty,11,Emergency relief funding for natural and manmade disasters worldwide.,high,funds_partners_abroad,high,claude-haiku-4-5
211305,16,"Peace, Justice and Strong Institutions",,Supports places of worship and Grail Message dissemination.,low,uk_fundraising_only,high,claude-haiku-4-5
211348,15,Life on Land,2; 4,Promotes Suffolk sheep breeding and agricultural practices.,high,operates_directly_abroad,low,claude-haiku-4-5
211471,4,Quality Education,16,Education and training programs for British-Israel World Federation.,medium,uk_fundraising_only,high,claude-haiku-4-5
211513,1,No Poverty,4,Grants to local South West UK charities in relief and education.,low,uk_fundraising_only,high,claude-haiku-4-5
211618,4,Quality Education,3; 1,Operates orphanages schools and clinics in India and Bangladesh.,high,operates_directly_abroad,high,claude-haiku-4-5
211647,16,"Peace, Justice and Strong Institutions",4; 17,Coordinates worldwide Quaker movement through meetings and UN advocacy.,high,operates_directly_abroad,high,claude-haiku-4-5
211840,1,No Poverty,5,Relief for women members of Soroptimist clubs in UK and Ireland.,high,uk_fundraising_only,high,claude-haiku-4-5
212034,1,No Poverty,3; 8,Financial support to retired seafarers and their families.,high,uk_fundraising_only,high,claude-haiku-4-5
212151,16,"Peace, Justice and Strong Institutions",4,Advances understanding of democratic elections and representation.,high,uk_fundraising_only,high,claude-haiku-4-5
212331,9,"Industry, Innovation and Infrastructure",12,Advances science and technology of colour and dyeing.,high,uk_fundraising_only,high,claude-haiku-4-5
212384,4,Quality Education,11,Educates public on Ancient and Medieval Egyptian culture and history.,high,uk_fundraising_only,medium,claude-haiku-4-5
212424,17,Partnerships for the Goals,4; 9,Convenes global network advancing social innovation and sustainability.,high,operates_directly_abroad,medium,claude-haiku-4-5
212481,4,Quality Education,11,Performs Shakespeare and dramatic works advancing theatrical art.,high,operates_directly_abroad,high,claude-haiku-4-5
212692,11,Sustainable Cities and Communities,4,Preserves literary heritage through Rome museum and public education.,high,operates_directly_abroad,high,claude-haiku-4-5
212778,4,Quality Education,17,Educates British public and funds educational projects in Chile.,high,funds_partners_abroad,high,claude-haiku-4-5
212799,1,No Poverty,8,Coordinates maritime charities providing seafarer welfare support.,high,uk_fundraising_only,high,claude-haiku-4-5
212861,4,Quality Education,17,Educates British public and funds charitable causes in Brazil.,high,funds_partners_abroad,high,claude-haiku-4-5
212952,1,No Poverty,,Relieves poverty of air pilots and their dependents.,high,uk_fundraising_only,high,claude-haiku-4-5
212992,9,"Industry, Innovation and Infrastructure",,Professional membership organisation for marine engineers worldwide.,medium,uk_fundraising_only,high,claude-haiku-4-5
213125,4,Quality Education,,"Promotes amateur festivals for music, dance and speech education.",high,uk_fundraising_only,high,claude-haiku-4-5
213149,15,Life on Land,4,Promotes research and study of entomology and natural history.,medium,uk_fundraising_only,high,claude-haiku-4-5
213216,2,Zero Hunger,,Promotes and maintains purity of Shorthorn cattle breeding.,medium,uk_fundraising_only,high,claude-haiku-4-5
213251,3,Good Health and Well-being,1,Investigates and treats leprosy; supports affected people worldwide.,high,operates_directly_abroad,high,claude-haiku-4-5
213280,3,Good Health and Well-being,5,Advances the science and practice of obstetrics and gynaecology.,high,uk_fundraising_only,high,claude-haiku-4-5
213282,16,"Peace, Justice and Strong Institutions",11,"Funds and maintains St George's Church at Ypres, Belgium.",medium,funds_partners_abroad,high,claude-haiku-4-5
213422,4,Quality Education,16,Helps children explore Christianity through schools and missions.,medium,operates_directly_abroad,high,claude-haiku-4-5
213766,16,"Peace, Justice and Strong Institutions",1,Provides practical and financial support to prisoners of conscience.,high,operates_directly_abroad,high,claude-haiku-4-5
213890,1,No Poverty,4; 3,Relieves distress and promotes welfare of children worldwide.,high,operates_directly_abroad,high,claude-haiku-4-5
213962,4,Quality Education,,Celebrates and nurtures British literature through public events.,high,uk_fundraising_only,high,claude-haiku-4-5
214244,1,No Poverty,,Provides financial assistance to Catenian Association members.,high,uk_fundraising_only,high,claude-haiku-4-5
214336,11,Sustainable Cities and Communities,4,Preserves and promotes study of monumental brasses and slabs.,medium,uk_fundraising_only,high,claude-haiku-4-5
214379,9,"Industry, Innovation and Infrastructure",13,Promotes advancement of chemical engineering science globally.,high,uk_fundraising_only,high,claude-haiku-4-5
214610,16,"Peace, Justice and Strong Institutions",,Publishes quarterly journal for naval professionals.,medium,uk_fundraising_only,high,claude-haiku-4-5
214726,11,Sustainable Cities and Communities,4,Publishes knowledge about Huguenot history and settlements.,medium,uk_fundraising_only,high,claude-haiku-4-5
215011,16,"Peace, Justice and Strong Institutions",3; 1,"Provides retreats, community service, and pastoral care for vulnerable groups.",medium,operates_directly_abroad,medium,claude-haiku-4-5
215352,16,"Peace, Justice and Strong Institutions",11,Funds Armenian Church in London and library in Jerusalem.,medium,funds_partners_abroad,high,claude-haiku-4-5
215398,4,Quality Education,1,Provides secular and religious education in Israel for children.,high,operates_directly_abroad,high,claude-haiku-4-5
215409,16,"Peace, Justice and Strong Institutions",,Evangelistic Christian mission proclaiming gospel in UK and abroad.,low,operates_directly_abroad,medium,claude-haiku-4-5
215553,16,"Peace, Justice and Strong Institutions",,Advances Roman Catholic faith and traditional teachings.,low,uk_fundraising_only,low,claude-haiku-4-5
218159,3,Good Health and Well-being,5,Provides relationship counselling and marriage education services.,medium,uk_fundraising_only,high,claude-haiku-4-5
218186,10,Reduced Inequalities,3,Provides accommodation and services to disabled people in UK and overseas.,high,operates_directly_abroad,high,claude-haiku-4-5
218823,16,"Peace, Justice and Strong Institutions",,Provides loans and grants to Baptist churches for building projects.,low,uk_fundraising_only,high,claude-haiku-4-5
218951,16,"Peace, Justice and Strong Institutions",4,Publishes and distributes materials promoting Catholic faith.,low,uk_fundraising_only,low,claude-haiku-4-5
219055,4,Quality Education,1; 3,Advances gospel through Scripture sharing and Bible-based education.,medium,operates_directly_abroad,medium,claude-haiku-4-5
219279,1,No Poverty,3; 16,Provides relief and support to Armed Forces members and dependents.,high,uk_fundraising_only,high,claude-haiku-4-5
219281,1,No Poverty,,Provides relief to poor and needy inhabitants of a commune in France.,high,funds_partners_abroad,high,claude-haiku-4-5
219404,1,No Poverty,,Provides assistance to former Reuters employees in need.,high,uk_fundraising_only,high,claude-haiku-4-5
219430,2,Zero Hunger,4,Supports international educational exchanges for grassland research.,high,operates_directly_abroad,high,claude-haiku-4-5
219432,3,Good Health and Well-being,,Provides confidential emotional support to reduce suicide risk.,high,uk_fundraising_only,high,claude-haiku-4-5
219763,16,"Peace, Justice and Strong Institutions",4,"Missionary society sending Christian missionaries to Africa, Asia and beyond.",low,operates_directly_abroad,high,claude-haiku-4-5
219852,1,No Poverty,3; 4,Provides support and care to orphans in the Diskin Orphanage Jerusalem.,medium,funds_partners_abroad,high,claude-haiku-4-5
219946,4,Quality Education,3; 1,"Provides leadership training, medical care and poverty relief through missions.",medium,operates_directly_abroad,high,claude-haiku-4-5
220300,17,Partnerships for the Goals,,Provides funding to registered charities with focus on Jewish organisations.,low,uk_fundraising_only,high,claude-haiku-4-5
220441,17,Partnerships for the Goals,,Grant-making trust for general charitable purposes at trustees' discretion.,low,uk_fundraising_only,low,claude-haiku-4-5
220480,16,"Peace, Justice and Strong Institutions",4,Promotes understanding of Anthroposophy and spiritual science.,low,uk_fundraising_only,high,claude-haiku-4-5
220764,4,Quality Education,16,Assists and trains Christian preachers of all denominations.,medium,uk_fundraising_only,high,claude-haiku-4-5
220881,1,No Poverty,5; 16,"Supports domestic violence victims, prisoners and sustainable projects in Africa.",medium,funds_partners_abroad,medium,claude-haiku-4-5
220949,3,Good Health and Well-being,16; 1,Provides humanitarian assistance to disaster and conflict victims globally.,high,operates_directly_abroad,high,claude-haiku-4-5
221319,3,Good Health and Well-being,4; 10,Provides community services including counselling and education in Britain.,medium,uk_fundraising_only,high,claude-haiku-4-5
221328,4,Quality Education,16,Supports evangelistic mission and leadership formation in Latin America.,medium,operates_directly_abroad,high,claude-haiku-4-5
221594,1,No Poverty,13; 16,Catholic missionary society relieving poverty and promoting environmental protection.,medium,operates_directly_abroad,high,claude-haiku-4-5
221601,1,No Poverty,,Provides financial assistance to chemical engineers in need.,high,uk_fundraising_only,high,claude-haiku-4-5
221605,16,"Peace, Justice and Strong Institutions",4,Distributes Bibles and engages in Christian witnessing in multiple regions.,low,operates_directly_abroad,high,claude-haiku-4-5
221853,16,"Peace, Justice and Strong Institutions",8,Supports missionary work among mining communities in multiple countries.,low,funds_partners_abroad,high,claude-haiku-4-5
221992,3,Good Health and Well-being,1,Provides charitable support to organisations including hospice services in Malta.,medium,funds_partners_abroad,high,claude-haiku-4-5
222416,1,No Poverty,3,Provides grants to relieve poverty within the Christadelphian community.,high,uk_fundraising_only,high,claude-haiku-4-5
222478,9,"Industry, Innovation and Infrastructure",12,Promotes advancement of textile industry and technology worldwide.,high,uk_fundraising_only,high,claude-haiku-4-5
222655,3,Good Health and Well-being,4; 17,Conducts research and provides training on tropical disease prevention globally.,high,operates_directly_abroad,high,claude-haiku-4-5
222698,17,Partnerships for the Goals,,Provides funding to the Gorakhpur Nurseries Fellowship and other charities.,low,funds_partners_abroad,high,claude-haiku-4-5
222849,3,Good Health and Well-being,4; 10,Provides educational and rehabilitation support to blind children in Jerusalem.,high,funds_partners_abroad,high,claude-haiku-4-5
223186,1,No Poverty,17,A Rotary Club providing support to distressed persons locally and internationally.,medium,operates_directly_abroad,medium,claude-haiku-4-5
223327,16,"Peace, Justice and Strong Institutions",4,Publishes and distributes literature promoting Evangelical Christian faith.,low,uk_fundraising_only,medium,claude-haiku-4-5
223660,4,Quality Education,,A theatre company producing plays and providing drama education.,high,uk_fundraising_only,high,claude-haiku-4-5
224223,4,Quality Education,,A national theatre presenting plays and providing education through dramatic arts.,high,operates_directly_abroad,medium,claude-haiku-4-5
224392,15,Life on Land,,Promotes kindness to animals and responsible pet ownership.,high,uk_fundraising_only,high,claude-haiku-4-5
224425,4,Quality Education,16,Promotes Church work among Native peoples through ministry training.,medium,operates_directly_abroad,high,claude-haiku-4-5
224447,2,Zero Hunger,1; 3,Advances Christian faith and provides humanitarian relief overseas.,medium,operates_directly_abroad,medium,claude-haiku-4-5
225364,4,Quality Education,16,Provides Christian missionary training and awareness building in Sudan and Africa.,medium,funds_partners_abroad,medium,claude-haiku-4-5
225755,3,Good Health and Well-being,1; 4,"Funds medical, agricultural, education and community development projects across Africa.",high,operates_directly_abroad,high,claude-haiku-4-5
225783,16,"Peace, Justice and Strong Institutions",,Sisters' community advancing Roman Catholic religion through missions.,low,operates_directly_abroad,medium,claude-haiku-4-5
225849,1,No Poverty,,Provides financial assistance to poor in Norfolk and Suffolk.,high,uk_fundraising_only,high,claude-haiku-4-5
225870,16,"Peace, Justice and Strong Institutions",,Charitable trust supporting Roman Catholic purposes.,low,uk_fundraising_only,low,claude-haiku-4-5
225910,1,No Poverty,3; 13,Fundraises in UK for development and humanitarian projects in Israel.,high,funds_partners_abroad,high,claude-haiku-4-5
226226,16,"Peace, Justice and Strong Institutions",1; 10,Christian evangelists working with marginalized communities in British Isles.,medium,uk_fundraising_only,high,claude-haiku-4-5
226352,3,Good Health and Well-being,16,"Funds Catholic institutions in Ireland, India, Malaysia, Hong Kong, Seychelles.",low,funds_partners_abroad,high,claude-haiku-4-5
226446,8,Decent Work and Economic Growth,3; 4,"Funds organizations supporting maritime workers' welfare, training and safety globally.",high,funds_partners_abroad,high,claude-haiku-4-5
226512,4,Quality Education,16,Distributes Christian teaching materials and funds missions globally.,medium,funds_partners_abroad,high,claude-haiku-4-5
226686,3,Good Health and Well-being,1,"Provides welfare, housing and care services to RAF members and families.",high,uk_fundraising_only,high,claude-haiku-4-5
226802,15,Life on Land,4,Promotes knowledge and cultivation of sweet pea flowers through exhibitions.,low,uk_fundraising_only,high,claude-haiku-4-5
227111,4,Quality Education,16,Translates and publishes Bibles across Europe and other countries.,medium,operates_directly_abroad,medium,claude-haiku-4-5
227177,1,No Poverty,8,"Relieves hardship for workers in graphical, paper and media industries.",high,uk_fundraising_only,high,claude-haiku-4-5
227350,16,"Peace, Justice and Strong Institutions",,Supports Catholic religious and missionary work in British Commonwealth.,low,operates_directly_abroad,medium,claude-haiku-4-5
227523,15,Life on Land,,"Provides dog rehoming, neutering assistance and education in UK.",high,uk_fundraising_only,high,claude-haiku-4-5
227530,1,No Poverty,3; 16,Funds Christian research and supports poverty and health relief in Bedford.,medium,uk_fundraising_only,high,claude-haiku-4-5
227600,1,No Poverty,4,Provides financial assistance to Polish women and students in Poland and UK.,high,funds_partners_abroad,medium,claude-haiku-4-5
227654,3,Good Health and Well-being,16,"Offers spiritual teachings, healing, meditation and retreats.",low,uk_fundraising_only,high,claude-haiku-4-5
227889,10,Reduced Inequalities,1,Funds assistance programs for Jewish refugees worldwide.,high,funds_partners_abroad,high,claude-haiku-4-5
227897,4,Quality Education,8,Makes grants for education and Armed Forces efficiency in UK and overseas.,medium,funds_partners_abroad,medium,claude-haiku-4-5
227931,3,Good Health and Well-being,4; 16,"Operates care homes, schools and missionary outreach for Catholic Church.",medium,operates_directly_abroad,high,claude-haiku-4-5
228248,1,No Poverty,17,Research organization advancing poverty reduction and sustainable livelihoods policy.,high,uk_fundraising_only,high,claude-haiku-4-5
228567,1,No Poverty,,Provides financial assistance to distressed UNITE union members.,high,uk_fundraising_only,high,claude-haiku-4-5
228606,16,"Peace, Justice and Strong Institutions",4,Advances Christian Endeavour youth movement in Great Britain and Ireland.,medium,operates_directly_abroad,high,claude-haiku-4-5
228851,15,Life on Land,4,Promotes bryology research and bryophyte conservation through education and publications.,medium,uk_fundraising_only,high,claude-haiku-4-5
228941,16,"Peace, Justice and Strong Institutions",,Christian preaching movement propagating prophecy and Jesus Christ message internationally.,low,funds_partners_abroad,medium,claude-haiku-4-5
229120,4,Quality Education,16,Catholic religious congregation providing education and overseas missionary work.,medium,operates_directly_abroad,high,claude-haiku-4-5
229226,16,"Peace, Justice and Strong Institutions",1; 4,"Christian communities promoting peace, justice, education and poverty relief.",medium,uk_fundraising_only,high,claude-haiku-4-5
229393,16,"Peace, Justice and Strong Institutions",,Makes grants supporting Roman Catholic religious community work.,low,uk_fundraising_only,medium,claude-haiku-4-5
229476,5,Gender Equality,3,Provides sexual and reproductive health services and advocacy in 172 countries.,high,funds_partners_abroad,high,claude-haiku-4-5
229669,3,Good Health and Well-being,4; 1,"Catholic convent providing nursing, education and overseas aid in development areas.",medium,operates_directly_abroad,high,claude-haiku-4-5
230087,16,"Peace, Justice and Strong Institutions",1; 4,Christian faith charity providing poverty relief and education support.,low,uk_fundraising_only,medium,claude-haiku-4-5
230165,4,Quality Education,1; 16,"Jesuit organization operating schools, parishes, social justice and overseas missions.",high,operates_directly_abroad,high,claude-haiku-4-5
